City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Comodoro Rivadavia,AR,2022-02-02 15:23:10,-45.8667,-67.5,75.06,31,0,12.66
121,Orange Walk,BZ,2022-02-02 15:23:11,17.8333,-88.8333,80.46,81,95,6.06
122,Wilmington,US,2022-02-02 15:19:47,34.2257,-77.9447,52.95,73,0,0.0
123,Fukagawa,JP,2022-02-02 15:23:11,43.7081,142.0392,15.78,96,100,3.71
124,Southbridge,US,2022-02-02 15:23:12,42.0751,-72.0334,38.57,88,100,3.0
125,Morondava,MG,2022-02-02 15:23:12,-20.2833,44.2833,84.99,73,67,12.86
126,Kirakira,SB,2022-02-02 15:23:12,-10.4544,161.9205,79.81,86,100,8.37
127,Leh,IN,2022-02-02 15:23:13,34.1667,77.5833,12.02,95,100,1.92
128,Menomonie,US,2022-02-02 15:20:27,44.8755,-91.9193,2.44,66,100,8.05
129,Shahreza,IR,2022-02-02 15:23:13,32.0339,51.8794,42.17,38,0,2.1
130,Luwuk,ID,2022-02-02 15:23:14,-0.9516,122.7875,78.33,78,100,4.41
131,Natal,BR,2022-02-02 15:23:14,-5.795,-35.2094,90.25,66,40,17.27
132,Yellowknife,CA,2022-02-02 15:22:38,62.456,-114.3525,-34.71,77,20,4.61
133,Barrow,US,2022-02-02 15:19:48,71.2906,-156.7887,-20.18,76,0,8.05
134,Thompson,CA,2022-02-02 15:24:15,55.7435,-97.8558,-27.24,68,0,13.8
135,Murdochville,CA,2022-02-02 15:24:15,48.9583,-65.5006,16.68,82,100,13.02
136,Dali,CN,2022-02-02 15:24:15,25.7,100.1833,39.92,87,23,5.86
137,Punta Alta,AR,2022-02-02 15:23:38,-38.8759,-62.0736,88.2,32,100,18.01
138,Santa Rosa,PH,2022-02-02 15:24:16,14.3122,121.1114,80.58,75,99,11.36
139,Sola,VU,2022-02-02 15:24:16,-13.8833,167.55,74.07,100,75,0.0
140,Mount Gambier,AU,2022-02-02 15:24:17,-37.8333,140.7667,55.31,88,100,8.05
141,Big Rapids,US,2022-02-02 15:24:17,43.6981,-85.4837,26.04,71,100,6.91
142,Nador,MA,2022-02-02 15:24:17,35.174,-2.9287,68.07,72,0,8.05
143,Butaritari,KI,2022-02-02 15:24:18,3.0707,172.7902,80.92,82,89,16.71
144,Khatanga,RU,2022-02-02 15:24:18,71.9667,102.5,-38.96,99,60,1.61
145,Puerto Baquerizo Moreno,EC,2022-02-02 15:24:18,-0.9,-89.6,79.79,74,20,14.97
146,Ferrandina,IT,2022-02-02 15:24:19,40.5012,16.4547,50.07,46,0,15.46
147,Springdale,US,2022-02-02 15:20:11,36.1867,-94.1288,31.73,97,100,13.0
148,Winnemucca,US,2022-02-02 15:24:19,40.973,-117.7357,23.11,68,20,4.61
149,Havre-Saint-Pierre,CA,2022-02-02 15:24:20,50.2334,-63.5986,23.36,74,100,12.66
150,Mezen,RU,2022-02-02 15:24:20,65.8522,44.24,13.44,96,100,5.35
151,Jales,BR,2022-02-02 15:24:21,-20.2689,-50.5458,75.65,81,100,7.16
152,Kpandae,GH,2022-02-02 15:24:21,8.4689,-0.0113,95.81,7,62,2.17
153,Portland,US,2022-02-02 15:19:41,45.5234,-122.6762,42.24,94,100,4.0
154,Adre,TD,2022-02-02 15:24:21,13.4667,22.2,84.13,13,0,13.8
155,Pangkalanbuun,ID,2022-02-02 15:24:22,-2.6833,111.6167,74.88,96,100,1.28
156,Mugumu,TZ,2022-02-02 15:24:22,-1.85,34.7,68.99,74,97,1.16
157,Puerto Ayora,EC,2022-02-02 15:24:23,-0.7393,-90.3518,80.56,90,54,5.99
158,Naze,JP,2022-02-02 15:24:23,28.3667,129.4833,56.16,86,100,16.96
159,Tilichiki,RU,2022-02-02 15:24:23,60.4667,166.1,9.93,85,100,11.9
160,Carnarvon,AU,2022-02-02 15:24:24,-24.8667,113.6333,80.67,74,75,12.66
161,Flinders,AU,2022-02-02 15:24:24,-34.5833,150.8552,66.2,77,100,10.0
162,Samarai,PG,2022-02-02 15:23:11,-10.6167,150.6667,79.74,83,100,11.01
163,Tomatlan,MX,2022-02-02 15:24:25,19.9333,-105.25,66.97,39,0,2.51
164,Rawah,IQ,2022-02-02 15:24:25,34.4816,41.9093,54.73,43,4,7.14
165,Tuatapere,NZ,2022-02-02 15:24:25,-46.1333,167.6833,56.82,97,100,8.66
166,Promyshlennaya,RU,2022-02-02 15:24:26,54.9159,85.6385,14.95,99,91,1.28
167,High Level,CA,2022-02-02 15:24:26,58.5169,-117.136,-34.49,67,20,2.3
